weapon_type,firearm_caliber,weapon_description,trr_report_id
Hands/Fists,,,96634
Verbal Threat (Assault),,,96636
Verbal Threat (Assault),,,96637
Verbal Threat (Assault),,,96638
Verbal Threat (Assault),,,96639
Verbal Threat (Assault),,,96651
Other (Specify),,BLADING STANCE AND BALLING FISTS,96653
Verbal Threat (Assault),,,96653
Firearm - Semi-Automatic, 9 MM,,96658
Hands/Fists,,,96659
Verbal Threat (Assault),,,96659
"Mouth (Spit,Bite,Etc)",,,96664
Hands/Fists,,,96670
Other (Specify),,OFFENDER PUSHED P.O. CUTRONE ,96670
Verbal Threat (Assault),,,96670
Hands/Fists,,,96671
Verbal Threat (Assault),,,96671
Feet,,,96672
Hands/Fists,,,96672
Hands/Fists,,,96674
Other (Specify),,THRASHED ARMS AND LEGS,96674
Hands/Fists,,,96684
Firearm - Semi-Automatic,45 CAL,,96687
Other (Specify),,COMBATIVE STANCE,96687
Other (Specify),OTHER,SMITH & WESSON PLET GUN,96688
Hands/Fists,,,96694
Verbal Threat (Assault),,,96694
Feet,,,96699
Other (Specify),,OFFENDER STRUCK R/O WITH ELBOW,96700
Feet,,,96701
Other (Specify),,FLICKED CIGARETTE ASHES IN P.O.FACE ,96703
Feet,,,96708
Other (Specify),,VEHICLE,96712
Vehicle - Officer Struck With Vehicle,,,96712
Hands/Fists,,,96720
Hands/Fists,,,96721
Other (Specify),,ADVANCED TOWARDS R/O IN MENACING MANNER,96721
Hands/Fists,,,96722
Knife/Other Cutting Instrument,,,96722
Other (Specify),,CHARGED AT OFFICER WITH CLENCHED FISTS,96722
Verbal Threat (Assault),,,96722
Other (Specify),,CHAIR,96723
Feet,,,96725
Feet,,,96726
Hands/Fists,,,96726
Other (Specify),,CHAIR-WOODEN STOOL,96727
Other (Specify),,CHAIR/STOOL THREAT,96727
Feet,,,96728
Hands/Fists,,,96728
Feet,,,96739
Hands/Fists,,,96742
Feet,,,96743
Hands/Fists,,,96743
Feet,,,96744
Feet,,,96745
Feet,,,96753
Hands/Fists,,,96753
Vehicle - Attempted To Strike Officer With Vehicle,,,96753
Verbal Threat (Assault),,,96753
Feet,,,96754
Hands/Fists,,,96754
Vehicle - Attempted To Strike Officer With Vehicle,,,96754
Verbal Threat (Assault),,,96754
Feet,,,96757
Feet,,,96759
Feet,,,96760
Verbal Threat (Assault),,,96760
Hands/Fists,,,96761
Verbal Threat (Assault),,,96761
"Mouth (Spit,Bite,Etc)",,,96765
Verbal Threat (Assault),,,96765
Verbal Threat (Assault),,,96768
Hands/Fists,,,96769
Hands/Fists,,,96772
Other (Specify),,BRICK,96772
Other (Specify),,THREATENED WITH A BRICK,96772
Other (Specify),,BRICK,96773
Other (Specify),,GLASS BOTTLE,96773
Other (Specify),,MENACING MOTIONS WITH WEAPONS IN BOTH HANDS,96773
Hands/Fists,,,96774
Other (Specify),,FINGERNAILS,96774
Verbal Threat (Assault),,,96774
Hands/Fists,,,96776
Hands/Fists,,,96777
Verbal Threat (Assault),,,96779
Verbal Threat (Assault),,,96783
Other (Specify),,MEDAL CYLINDRICAL MICROPHONE ,96785
Hands/Fists,,,96786
Other (Specify),,MEDAL CYLINDER OBJECT,96786
Other (Specify),,METAL OBJECT,96786
Feet,,,96787
Feet,,,96793
Hands/Fists,,,96793
Verbal Threat (Assault),,,96793
Hands/Fists,,,96795
Feet,,,96797
Feet,,,96798
Other (Specify),,OFFICER DRAGGED BY OFFENDERS VEHICLE ,96803
Feet,,,96806
Hands/Fists,,,96806
Firearm - Revolver, 38 CAL,,96808
Hands/Fists,,,96809
Verbal Threat (Assault),,,96809
Hands/Fists,,,96834
Other (Specify),,PUSHED,96834
Hands/Fists,,,96837
Hands/Fists,,,96843
Feet,,,96844
Hands/Fists,,,96844
"Mouth (Spit,Bite,Etc)",,,96844
Verbal Threat (Assault),,,96844
Knife/Other Cutting Instrument,,,96845
Knife/Other Cutting Instrument,,,96846
Knife/Other Cutting Instrument,,,96847
Knife/Other Cutting Instrument,,,96848
Firearm - Semi-Automatic,380 ACP,,96849
Other (Specify),,NONE,96849
"Mouth (Spit,Bite,Etc)",,,96854
Other (Specify),,CHARGED PO AGGRESSIVELY,96856
Verbal Threat (Assault),,,96856
Knife/Other Cutting Instrument,,,96857
Other (Specify),,SHOVED R/O WITH HANDS AND BODY,96862
Feet,,,96864
Hands/Fists,,,96880
Feet,,,96881
Other (Specify),,ATTEMPTED WRESTLE WITH AO,96884
Other (Specify),,SPIT AT,96888
Firearm - Semi-Automatic,UNKNOWN,,96892
Other (Specify),,BLOOD,96893
Other (Specify),,PATHOGEN,96893
Feet,,,96894
Hands/Fists,,,96894
Firearm - Semi-Automatic,380 ACP,,96895
Other (Specify),,POINTING FIREARM AT OFFICER,96895
Feet,,,96896
Hands/Fists,,,96896
Verbal Threat (Assault),,,96901
Hands/Fists,,,96903
Hands/Fists,,,96904
"Mouth (Spit,Bite,Etc)",,,96904
Hands/Fists,,,96905
Firearm - Semi-Automatic,40 S&W,,96911
Other (Specify),,SCISSORS,96912
Knife/Other Cutting Instrument,UNKNOWN,SCISSORS,96913
Other (Specify),,SCISSORS,96913
Blunt Instrument,,,96919
Feet,,,96919
Hands/Fists,,,96919
Other (Specify),,FIGHT STANCE,96920
Verbal Threat (Assault),,,96920
Other (Specify),,THREW BOTTLE AT P.O.,96921
Hands/Fists,,,96927
Hands/Fists,,,96930
Other (Specify),,GUN GESTURED,96931
Verbal Threat (Assault),,,96931
Other (Specify),,GUN GESTURE,96932
Verbal Threat (Assault),,,96932
Verbal Threat (Assault),,,96933
Firearm - Semi-Automatic,45 CAL,,96934
Firearm - Semi-Automatic,45 CAL,,96935
Firearm - Semi-Automatic,45 CAL,,96936
Firearm - Semi-Automatic,45 CAL,,96937
Firearm - Semi-Automatic,45 CAL,,96938
Hands/Fists,,,96941
Verbal Threat (Assault),,,96941
Feet,,,96942
Hands/Fists,,,96942
Hands/Fists,,,96945
Other (Specify),,PUSH WITH 2 OPEN HANDS ,96945
Verbal Threat (Assault),,,96947
Hands/Fists,,,97234
Other (Specify),,CONCEALED HANDS AFTER TRAFFIC PURSUIT,96949
Hands/Fists,,,96953
Other (Specify),,1 CAN MACE,96955
Feet,,,96961
Verbal Threat (Assault),,,96961
Feet,,,96962
Verbal Threat (Assault),,,96962
Hands/Fists,,,96966
"Mouth (Spit,Bite,Etc)",,,96967
Feet,,,96968
Feet,,,96969
Hands/Fists,,,96976
Hands/Fists,,,96980
Other (Specify),,AGG POSTURE WHILE ADVANCING,96980
Verbal Threat (Assault),,,96980
Hands/Fists,,,96984
Hands/Fists,,,96987
"Mouth (Spit,Bite,Etc)",,,96990
Feet,,,96991
"Mouth (Spit,Bite,Etc)",,,96991
Hands/Fists,,,96995
Verbal Threat (Assault),,,96999
Hands/Fists,,,97001
Knife/Other Cutting Instrument,,,97003
Firearm - Semi-Automatic,380 ACP,,97005
Firearm - Semi-Automatic, 9 MM,,97008
Firearm - Semi-Automatic, 9 MM,,97009
Other (Specify),,BLADED STANCE W/ CLENCHED FIST,97011
"Mouth (Spit,Bite,Etc)",,,97014
Hands/Fists,,,97016
Firearm - Semi-Automatic, 9 MM,,97020
Firearm - Revolver, 38 CAL,,97021
Firearm - Revolver, 38 CAL,,97023
Firearm - Semi-Automatic, 9 MM,,97025
Firearm - Semi-Automatic, 9 MM,,97026
Firearm - Semi-Automatic, 9 MM,,97027
Firearm - Semi-Automatic, 9 MM,,97029
Verbal Threat (Assault),,,97029
Verbal Threat (Assault),,,97030
Hands/Fists,,,97031
"Mouth (Spit,Bite,Etc)",,,97031
Verbal Threat (Assault),,,97031
Verbal Threat (Assault),,,97032
Verbal Threat (Assault),,,97033
Knife/Other Cutting Instrument,,,97043
Knife/Other Cutting Instrument,,,97044
Feet,,,97046
Hands/Fists,,,97046
Feet,,,97048
Hands/Fists,,,97048
Other (Specify),,THROWN ROCK,97050
Feet,,,97054
Firearm - Semi-Automatic, 9 MM,,97055
Other (Specify),,FLAILING OF ARMS PULLING AWAY,97056
Other (Specify),,SQUAD CAR STRUCK INTENTIONALLY WHILE R/SGT WAS A PASSENGER,97064
Other (Specify),,OFFENDER INTENTIONALLY STRUCK R/O'S VEHICLE,97065
Feet,,,97069
Hands/Fists,,,97069
Verbal Threat (Assault),,,97069
Feet,,,97071
Hands/Fists,,,97071
Verbal Threat (Assault),,,97071
Hands/Fists,,,97080
Other (Specify),,ELBOW,97080
Other (Specify),,CANINE,97082
Other (Specify),,THREW BEER CAN WHICH STRUCK PO IN FACE,97087
Hands/Fists,,,97094
"Mouth (Spit,Bite,Etc)",,,97095
"Mouth (Spit,Bite,Etc)",,,97096
"Mouth (Spit,Bite,Etc)",,,97097
Feet,,,97098
Feet,,,97101
Hands/Fists,,,97101
"Mouth (Spit,Bite,Etc)",,,97101
Feet,,,97112
Other (Specify),,SUBJECT KICKED TOWARDS R/O SEVERAL TIMES,97112
Verbal Threat (Assault),,,97112
Verbal Threat (Assault),,,97114
Feet,,,97117
Hands/Fists,,,97117
Feet,,,97118
Hands/Fists,,,97118
Other (Specify),,ATTEMPTED TO OBTAIN ANOTHER OFFICERS WEAPON,97118
Verbal Threat (Assault),,,97118
Feet,,,97119
Hands/Fists,,,97119
Vehicle - Attempted To Strike Officer With Vehicle,,,97121
Other (Specify),,ASSUMED FIGHTING STANCE,97125
Other (Specify),,ASSUMED FIGHTING STANCE.,97126
Firearm - Revolver, 38 CAL,,97139
Firearm - Revolver, 38 CAL,,97140
Firearm - Revolver, 38 CAL,,97141
Other (Specify),,WHEELCHAIR,97144
Other (Specify),,WHEELCHAIR,97145
Firearm - Semi-Automatic,45 CAL,,97146
Hands/Fists,,,97151
Feet,,,97152
Hands/Fists,,,97152
Other (Specify),,HEADBUTT,97152
Feet,,,97153
Hands/Fists,,,97153
Other (Specify),,HEADBUTT,97153
Feet,,,97154
Knife/Other Cutting Instrument,,SMALL BLACK KNIFE,97156
Firearm - Semi-Automatic,25 ACP,,97158
Hands/Fists,,,97158
Other (Specify),,WRESTLED A/O,97158
Feet,,,97163
Verbal Threat (Assault),,,97163
Firearm - Semi-Automatic,40 S&W,,97165
Hands/Fists,,,97165
Other (Specify),,RAN AT OFFICER AND PUSH,97165
Firearm - Semi-Automatic,OTHER,40CAL,97166
Hands/Fists,,,97166
Other (Specify),,PUSHED OFFICER,97166
Hands/Fists,,,97169
Verbal Threat (Assault),,,97169
Hands/Fists,,,97193
Hands/Fists,,,97194
Vehicle - Officer Struck With Vehicle,,,97195
Hands/Fists,,,97196
Hands/Fists,,,97197
"Mouth (Spit,Bite,Etc)",,,97199
Feet,,,97200
Feet,,,97202
Hands/Fists,,,97210
Firearm - Semi-Automatic, 38 CAL,,97218
Other (Specify),,THREW ALCOHOL ON P.O. ,97222
Verbal Threat (Assault),,,97222
Firearm - Revolver, 38 CAL,,97226
Firearm - Revolver, 38 CAL,,97227
Firearm - Revolver, 38 CAL,,97228
Firearm - Revolver, 38 CAL,,97231
Feet,,,97236
Other (Specify),,KICKING,97236
Firearm - Revolver, 38 CAL,,97237
Feet,,,97238
"Mouth (Spit,Bite,Etc)",,,97241
Hands/Fists,,,97242
Other (Specify),,THREATENED TO ATTACK OFFICERS,97242
Verbal Threat (Assault),,,97242
Hands/Fists,,,97243
Hands/Fists,,,97244
Feet,,,97245
Hands/Fists,,,97245
"Mouth (Spit,Bite,Etc)",,,97245
Verbal Threat (Assault),,,97245
Hands/Fists,,,97246
"Mouth (Spit,Bite,Etc)",,,97246
Verbal Threat (Assault),,,97246
Hands/Fists,,,97248
Verbal Threat (Assault),,,97248
Hands/Fists,,,97249
Feet,,,97252
Hands/Fists,,,97252
Other (Specify),,CHOKE,97252
Verbal Threat (Assault),,,97252
Hands/Fists,,,97253
Hands/Fists,,,97261
Other (Specify),,ACTED AS IF HE WAS GOING TO THROW A CUP AT OFFICER,97261
Other (Specify),,PLASTIC CUP,97262
Other (Specify),,PLASTIC CUP,97263
Hands/Fists,,,97265
Other (Specify),,KICKED AT OFFICER,97269
Hands/Fists,,,97273
Hands/Fists,,,97275
Hands/Fists,,,97277
Verbal Threat (Assault),,,97279
"Mouth (Spit,Bite,Etc)",,,97282
Hands/Fists,,,97284
Feet,,,97285
Hands/Fists,,,97285
"Mouth (Spit,Bite,Etc)",,,97285
Verbal Threat (Assault),,,97285
"Mouth (Spit,Bite,Etc)",,,97287
Verbal Threat (Assault),,,97287
Verbal Threat (Assault),,,97289
"Mouth (Spit,Bite,Etc)",,,97290
Verbal Threat (Assault),,,97290
Verbal Threat (Assault),,,97291
Verbal Threat (Assault),,,97292
Hands/Fists,,,97296
Other (Specify),,STRUCK WITH CLENCHED FIST,97296
Verbal Threat (Assault),,,97297
Hands/Fists,,,97298
Verbal Threat (Assault),,,97298
Other (Specify),,SWINGING DOOR FRAME,97299
Blunt Instrument,,PIECE OF BOARD,97300
Feet,,,97303
Other (Specify),,STRUCK R/O WITH BODY,97305
Verbal Threat (Assault),,,97305
Verbal Threat (Assault),,,97308
Hands/Fists,,,97309
Other (Specify),,LUNGED AT RO,97311
Firearm - Revolver,22 LR,,97312
Feet,,,97316
Hands/Fists,,,97316
Verbal Threat (Assault),,,97318
Firearm - Semi-Automatic, 9 MM,,97320
Hands/Fists,,,97326
Knife/Other Cutting Instrument,,RAZOR BLADE,97329
Other (Specify),,MACE,97329
Hands/Fists,,,97330
Other (Specify),,HEAD-BUTT,97330
Hands/Fists,,,97331
Verbal Threat (Assault),,,97331
Other (Specify),,AGGRESSIVE ADVANCING TOWARD R/O,97333
Verbal Threat (Assault),,,97333
Feet,,,97336
Verbal Threat (Assault),,,97336
Verbal Threat (Assault),,,97338
Feet,,,97339
Verbal Threat (Assault),,,97339
Other (Specify),,PUSHING WITH BODY,97348
Hands/Fists,,,97349
Hands/Fists,,,97350
Other (Specify),,AGGRESIVELY STEPPED INTO PO,97353
Firearm - Semi-Automatic,UNKNOWN,BLACK HANDLE WITH SILVER BARREL,97355
Hands/Fists,,,97355
Feet,,,97358
Other (Specify),,KICKING HIS LEGS,97358
Feet,,,97359
Hands/Fists,,,97359
Hands/Fists,,,97361
Feet,,,97362
Hands/Fists,,,97362
Verbal Threat (Assault),,,97362
Firearm - Semi-Automatic,40 S&W,,97364
Firearm - Semi-Automatic,40 S&W,,97365
"Mouth (Spit,Bite,Etc)",,,97369
Other (Specify),,THREATEN TO KILL MY FAMILY,97369
Verbal Threat (Assault),,,97369
Verbal Threat (Assault),,,97370
Firearm - Semi-Automatic, 9 MM,,97371
Hands/Fists,,,97377
Verbal Threat (Assault),,,97377
Hands/Fists,,,97378
Other (Specify),,CLENCHED FISTS,97378
Verbal Threat (Assault),,,97378
Hands/Fists,,,97379
"Mouth (Spit,Bite,Etc)",,,97379
Verbal Threat (Assault),,,97379
"Mouth (Spit,Bite,Etc)",,,97380
Firearm - Semi-Automatic,45 CAL,,97381
Hands/Fists,,,97382
Blunt Instrument,,LARGE ROCKS,97384
Blunt Instrument,,SANDBAG,97384
Hands/Fists,,,97384
"Mouth (Spit,Bite,Etc)",,,97384
Other (Specify),,LARGE ROCKS/SANDBAG,97384
Verbal Threat (Assault),,,97384
Feet,,,97385
Hands/Fists,,,97385
"Mouth (Spit,Bite,Etc)",,,97385
Hands/Fists,,,97387
Blunt Instrument,,LARGE ROCK,97388
Other (Specify),,STUCK IN BACK OF HEAD WITH ROCK,97388
"Mouth (Spit,Bite,Etc)",,,97389
Other (Specify),,BITE ON RIGHT ARM,97389
Hands/Fists,,,97391
Verbal Threat (Assault),,,97392
Firearm - Semi-Automatic,OTHER,SPRIGFIELD X-D- 40 CAL,97393
Verbal Threat (Assault),,,97396
Hands/Fists,,,97399
Other (Specify),,BLADED STANCE CLOSED FIST,97399
Hands/Fists,,,97402
Hands/Fists,,,97407
Verbal Threat (Assault),,,97411
Verbal Threat (Assault),,,97412
Verbal Threat (Assault),,,97413
Other (Specify),,TOOK A FIGHTING STANCE,97419
Hands/Fists,,,97425
Hands/Fists,,,97427
"Mouth (Spit,Bite,Etc)",,,97429
Hands/Fists,,,97432
Other (Specify),,HEADBUTT,97432
Firearm - Semi-Automatic,45 CAL,,97444
Verbal Threat (Assault),,,97445
Hands/Fists,,,97446
Hands/Fists,,,97447
"Mouth (Spit,Bite,Etc)",,,97451
Hands/Fists,,,97454
Verbal Threat (Assault),,,97459
Hands/Fists,,,97461
Hands/Fists,,,97462
Feet,,,97463
Firearm - Semi-Automatic, 45 ACP,,97463
Hands/Fists,,,97463
Feet,,,97464
Firearm - Semi-Automatic,45 CAL,,97464
Hands/Fists,,,97464
Hands/Fists,,,97467
Knife/Other Cutting Instrument,,,97468
Other (Specify),,HEAD BUTT,97468
Verbal Threat (Assault),,,97472
Hands/Fists,,,97477
Verbal Threat (Assault),,,97479
Verbal Threat (Assault),,,97480
Other (Specify),,SUBJECT'S FINGERNAILS,97483
Other (Specify),,HEAD,97496
Feet,,,97509
Hands/Fists,,,97512
Other (Specify),,VERBAL THREAT,97513
Hands/Fists,,,97517
Verbal Threat (Assault),,,97517
Hands/Fists,,,97518
Other (Specify),,"CHEST, ARMS",97519
Hands/Fists,,,97521
Verbal Threat (Assault),,,97521
"Mouth (Spit,Bite,Etc)",,,97522
Other (Specify),,TACKLE/WRESTLE/ATTEMPT DISARM,97523
Hands/Fists,,,97529
Hands/Fists,,,97530
Verbal Threat (Assault),,,97533
Feet,,,97535
Verbal Threat (Assault),,,97537
Other (Specify),,AGGRESSIVE FIGHTING STANCE,97543
Feet,,,97546
Hands/Fists,,,97546
"Mouth (Spit,Bite,Etc)",,,97546
Verbal Threat (Assault),,,97546
Other (Specify),,SCRATCHING,97547
Firearm - Semi-Automatic,40 S&W,,97551
Firearm - Semi-Automatic, 9 MM,TAURUS MILLENNIUM PT111 G2 9MM DEFACED SERIAL NUMBER,97556
Hands/Fists,,,97558
"Mouth (Spit,Bite,Etc)",,,97558
Hands/Fists,,,97559
"Mouth (Spit,Bite,Etc)",,,97559
Other (Specify),,CHOKED,97559
Verbal Threat (Assault),,,97559
Hands/Fists,,,97565
Other (Specify),,NAILS,97565
Other (Specify),,RAN INTO,97571
Feet,,,97578
Vehicle - Attempted To Strike Officer With Vehicle,,,97580
Hands/Fists,,,97581
Feet,,,97587
Blunt Instrument,,CHISEL HAMMER,97590
Firearm - Semi-Automatic, 9 MM,RUGER ,97592
Firearm - Semi-Automatic, 9 MM,RUGER,97593
Other (Specify),,BODY,97593
Firearm - Semi-Automatic, 9 MM,RUGER,97594
Feet,,,97602
Firearm - Semi-Automatic, 9 MM,SMITH & WESSON SD9 VE,97608
Other (Specify),,RAN AT R/O,97609
Verbal Threat (Assault),,,97609
Firearm - Semi-Automatic, 9 MM,,97610
"Mouth (Spit,Bite,Etc)",,,97612
Verbal Threat (Assault),,,97612
Feet,,,97613
Hands/Fists,,,97613
"Mouth (Spit,Bite,Etc)",,,97613
"Mouth (Spit,Bite,Etc)",,,97614
Hands/Fists,,,97620
Verbal Threat (Assault),,,97620
Other (Specify),,BLEACH/CAUSTIC SUBSTANCE,97625
Other (Specify),,STRUCK BY BLEACH,97626
Hands/Fists,,,97628
Feet,,,97629
Hands/Fists,,,97633
Knife/Other Cutting Instrument,,RAZOR BLADE BLACK/YELLOW COLORED,97635
Knife/Other Cutting Instrument,,BOX CUTTER,97636
Other (Specify),,OFFENDER TURNED ON PO AND TOOK AM AGGRESSIVE FIGHTING STANCE,97640
Hands/Fists,,,97642
Other (Specify),,FIGHTING STANCE,97643
Verbal Threat (Assault),,,97643
Feet,,,97646
Hands/Fists,,,97646
Verbal Threat (Assault),,,97648
Hands/Fists,,,97650
Verbal Threat (Assault),,,97651
Hands/Fists,,,97652
Feet,,,97653
Hands/Fists,,,97658
Verbal Threat (Assault),,,97660
Other (Specify),,2 WOODEN STICKS,97661
Verbal Threat (Assault),,,97661
Verbal Threat (Assault),,,97662
Verbal Threat (Assault),,,97665
Feet,,,97672
Hands/Fists,,,97672
Hands/Fists,,,97677
Verbal Threat (Assault),,,97677
Feet,,,97679
Hands/Fists,,,97679
"Mouth (Spit,Bite,Etc)",,,97679
Verbal Threat (Assault),,,97679
Feet,,,97680
Hands/Fists,,,97680
"Mouth (Spit,Bite,Etc)",,,97680
Other (Specify),,ATTEMPTED TO BITE,97680
Hands/Fists,,,97683
"Mouth (Spit,Bite,Etc)",,,97689
Hands/Fists,,,97690
Other (Specify),,AGRESSIVE MOVE,97694
Feet,,,97696
Feet,,,97697
Hands/Fists,,,97697
"Mouth (Spit,Bite,Etc)",,,97697
Feet,,,97698
Hands/Fists,,,97700
Verbal Threat (Assault),,,97700
Hands/Fists,,,97701
Feet,,,97702
"Mouth (Spit,Bite,Etc)",,,97702
Other (Specify),,SPIT IN FACE & EYES,97702
Feet,,,97704
Verbal Threat (Assault),,,97705
Other (Specify),,STRUCK P.O. ON THE CHEST WITH ARM,97710
Feet,,,97712
Other (Specify),,HEAD BUTT,97712
Firearm - Revolver,357 MAG,,97715
Firearm - Semi-Automatic,380 ACP,SMITH & WESSON,97727
Firearm - Semi-Automatic,380 ACP,SMITH AND WESSON ,97728
Other (Specify),,INTENTIONALLY STRUCK CPD VEHICLE HEAD ON IN TRAFFIC,97729
Other (Specify),,VEHICLE,97729
Other (Specify),,STRUCK MARKED CPD VEHICLE HEAD ON IN TRAFFIC,97730
Hands/Fists,,,97731
Other (Specify),,OFFICER STRUCK WITH ARMS,97731
Hands/Fists,,,97733
Other (Specify),,EXITED WITH KNIFE REFUSING VERBAL COMMANDS,97735
Other (Specify),,FIREARM,97736
Other (Specify),,FIREARM,97737
Feet,,,97738
Hands/Fists,,,97738
"Mouth (Spit,Bite,Etc)",,,97738
Other (Specify),,AGGRESSIVE/BALLED FISTS,97738
Verbal Threat (Assault),,,97738
Hands/Fists,,,97739
Verbal Threat (Assault),,,97739
Hands/Fists,,,97742
Verbal Threat (Assault),,,97742
Hands/Fists,,,97743
Other (Specify),,GRABBIONG HOLDING SHOVING,97743
Hands/Fists,,,97745
Other (Specify),,"GRABBING, HOLDING",97745
Other (Specify),,PUSHING AND SHOVING,97747
Other (Specify),,SHOVING,97749
Other (Specify),,WINE BOTTLE,97752
Hands/Fists,,,97753
Other (Specify),,CHOKE HOLD,97753
Hands/Fists,,,97755
Hands/Fists,,,97756
Firearm - Semi-Automatic, 45 ACP,45,97759
Hands/Fists,,,97759
Hands/Fists,,,97760
Feet,,,97761
Hands/Fists,,,97761
Hands/Fists,,,97762
Firearm - Semi-Automatic, 9 MM,,97765
Other (Specify),,ELBOW/ARM,97766
"Mouth (Spit,Bite,Etc)",,,97767
Other (Specify),,SPIT ON OFFICER MULTIPLE TIMES,97767
Hands/Fists,,,97769
Verbal Threat (Assault),,,97772
Other (Specify),OTHER,REPLICA FIREARM,97773
Other (Specify),,BB GUN,97774
Other (Specify),,BB GUN,97776
Other (Specify),,SLASHED WITH PEN,97780
Hands/Fists,,,97784
Verbal Threat (Assault),,,97785
Hands/Fists,,,97786
"Mouth (Spit,Bite,Etc)",,,97786
Hands/Fists,,,97787
"Mouth (Spit,Bite,Etc)",,,97787
Verbal Threat (Assault),,,97787
Other (Specify),,DISARM ATTEMPT,97793
Feet,,,97798
Hands/Fists,,,97798
Verbal Threat (Assault),,,97798
Hands/Fists,,,97799
Hands/Fists,,,97804
Other (Specify),,SUBJECT PULLED BACK HIS ARM WITH A CLOSED FIST TO PUNCH,97807
Verbal Threat (Assault),,,97807
"Mouth (Spit,Bite,Etc)",,,97813
Hands/Fists,,,97817
Hands/Fists,,,97821
Feet,,,97828
Feet,,,97829
Verbal Threat (Assault),,,97832
Other (Specify),,ELBOWED R/O ON FACE,97839
Other (Specify),,PULLING AWAY AND PUSHING PO MEDINA#13176,97840
Feet,,,97843
Hands/Fists,,,97843
Verbal Threat (Assault),,,97849
Verbal Threat (Assault),,,97850
Hands/Fists,,,97853
Hands/Fists,,,97854
Verbal Threat (Assault),,,97858
Hands/Fists,,,97860
"Mouth (Spit,Bite,Etc)",,,97860
"Mouth (Spit,Bite,Etc)",,,97866
Feet,,,97867
